2026-08-21 11:17:10.043 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29967
2026-08-21 11:17:40.040 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29997
2026-08-21 11:18:10.096 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30056
2026-08-21 11:18:31.096 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 56, количество: 245
2026-08-21 11:18:31.109 ERROR [copyMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 69, количество: 70
2026-08-21 11:18:31.144 ERROR [copyMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 17, количество: 70
2026-08-21 11:18:40.046 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29949
2026-08-21 11:19:02.980 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 12, количество: 245
2026-08-21 11:19:10.057 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30011
2026-08-21 11:19:40.106 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30050
2026-08-21 11:20:10.100 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29993
2026-08-21 11:20:40.076 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29977
2026-08-21 11:21:10.048 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29972
2026-08-21 11:21:40.113 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30065
2026-08-21 11:21:54.368 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 16, количество: 245
2026-08-21 11:22:10.095 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29982
2026-08-21 11:22:11.128 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 13, количество: 245
2026-08-21 11:22:37.270 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 55, количество: 245
2026-08-21 11:22:40.102 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30006
2026-08-21 11:22:45.044 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 12, количество: 245
2026-08-21 11:23:00.594 ERROR [copyMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 15, количество: 70
2026-08-21 11:23:07.032 ERROR [copyMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 32, количество: 70
2026-08-21 11:23:10.097 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29996
2026-08-21 11:23:40.052 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29955
2026-08-21 11:24:10.097 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30044
2026-08-21 11:24:40.062 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29966
2026-08-21 11:25:10.096 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30034
2026-08-21 11:25:40.080 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29983
2026-08-21 11:26:10.062 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29983
2026-08-21 11:26:32.869 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 43, количество: 245
2026-08-21 11:26:40.039 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29977
2026-08-21 11:27:10.112 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30073
2026-08-21 11:27:40.073 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29961
2026-08-21 11:28:10.041 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29967
2026-08-21 11:28:40.103 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30062
2026-08-21 11:28:42.675 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 12, количество: 245
2026-08-21 11:29:10.068 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29965
2026-08-21 11:29:39.001 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 17, количество: 245
2026-08-21 11:29:40.106 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30039
2026-08-21 11:30:10.065 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29959
2026-08-21 11:30:40.045 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29980
2026-08-21 11:31:10.121 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30075
2026-08-21 11:31:22.878 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 17, количество: 245
2026-08-21 11:31:40.089 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29969
2026-08-21 11:31:57.082 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 11, количество: 245
2026-08-21 11:32:10.083 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29994
2026-08-21 11:32:40.051 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29967
2026-08-21 11:33:10.030 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29980
2026-08-21 11:33:40.099 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30068
2026-08-21 11:34:10.059 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29961
2026-08-21 11:34:40.048 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29989
2026-08-21 11:35:02.151 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 18, количество: 245
2026-08-21 11:35:10.082 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30034
2026-08-21 11:35:40.047 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29965
2026-08-21 11:36:10.101 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30054
2026-08-21 11:36:22.949 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 21, количество: 245
2026-08-21 11:36:40.086 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29984
